,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.2042,0.69902980681801341,0.029025355747711583,0.6369376445693693,0.68053213178310146,0.70107742629553749,0.7192394962662827,0.75070349790004387,0.00034920099737641586
t_subj.2043,0.61858186473816557,0.022198722056825559,0.5703138273368813,0.60456060278397628,0.62047027193829274,0.63463147603532732,0.65668773044554629,0.00026963806114258481
t_subj.2044,0.48669026919081421,0.015165706918907973,0.45213098634365362,0.47762638599650231,0.48846077511801783,0.49756185345055437,0.51132158142169648,0.00016722379973874943
t_subj.2045,0.52241480094275039,0.01645760987330986,0.48615252747512638,0.51254846488864469,0.52390835946172287,0.53402295796096022,0.54996494916254668,0.00016968843968966489
t_subj.2046,0.032463475890561012,0.0088144137394786243,0.014449523846796507,0.026503786226770368,0.0327851271809965,0.038753209715085377,0.048824017624880318,0.00010688321401424375
t_subj.2047,0.22386720157788906,0.021441020688196887,0.17687208959013836,0.21019801077156636,0.22563547881423135,0.23932810172848795,0.26058285539773463,0.00023702346439593132
v_Intercept,0.086893917654062111,0.055543977254322134,-0.022738141964702849,0.0509556041898067,0.086979856444319451,0.12405433876722091,0.19305991424349833,0.00082869617376117046
v_Intercept_std,0.28580855075181083,0.042416203705207892,0.21571500990060027,0.25567970819547303,0.28163884627207103,0.31137118726855961,0.3824036790654064,0.000425751788102908
v_Intercept_subj.2013,0.15915644057114303,0.07114047795062696,0.019858226738689019,0.11140887204844044,0.15970547988688608,0.20661604266729122,0.29733626896038801,0.00080758837966009539
v_Intercept_subj.2015,0.62731166253760484,0.086217857030166489,0.46097688518207552,0.56874385064389354,0.62705447798503355,0.68495120145637944,0.80115010171834222,0.0011699137024610748
v_Intercept_subj.2016,0.24828473606197787,0.085474226717442092,0.084471355244996521,0.19013963222253716,0.24833024909951523,0.30682100896944697,0.41679174429690735,0.0011335025499941928
v_Intercept_subj.2017,0.25259858893741693,0.069666227442694156,0.11813822628562197,0.20497562996478783,0.25229039417293431,0.29980667361999347,0.38894460291990901,0.00094362518757712518
v_Intercept_subj.2018,0.24921819032602444,0.07625242767472884,0.099627570696268195,0.19814764319702149,0.24835835079145513,0.30132875084559452,0.39635312990257676,0.00090759051387236339
v_Intercept_subj.2019,0.34845674778122004,0.075895335900508232,0.20018065614330677,0.29710295341421472,0.34770040024984999,0.39936498318127767,0.5006024415257504,0.0010173573936968878
v_Intercept_subj.2020,-0.14897338549504771,0.068772988455467143,-0.28318411808019611,-0.19556503361263702,-0.14806287497920256,-0.10240650296485847,-0.01617149448742683,0.00079715992478583892
