,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.2041,2.3993190896632979,0.093429758689223513,2.223800442698971,2.3349360387218252,2.396341695221897,2.460304013880946,2.5896210200768595,0.0010770057556189793
a_subj.2042,2.4204551366494473,0.099319581267846277,2.2383919069154445,2.3505348173958471,2.4162393837381408,2.4870064315531675,2.6233993037580312,0.0010743049852335331
a_subj.2043,2.3611009877258771,0.087971229922457039,2.1943220298363841,2.300852666680735,2.3589461626859323,2.4201518601657677,2.5382422845017749,0.001051371282959086
a_subj.2044,2.318355802634092,0.089833292852213281,2.1484571947361411,2.2577359158905264,2.3160750301922222,2.3760008260656074,2.5035557295419317,0.00099786570029009535
a_subj.2045,2.2388716410692338,0.091222717777217285,2.0718290351641433,2.1751647977795714,2.2356200788776666,2.2981801760419174,2.4256755293619316,0.0010590089713720181
a_subj.2046,2.7813908035384149,0.10872795525185155,2.5791861353884777,2.7045113656846445,2.7786651945135254,2.851930501958174,3.0025698590545717,0.0011945048329618031
a_subj.2047,2.4275010524774658,0.09497288740851817,2.2477635514862579,2.3620713666871893,2.4245773587520767,2.4904126014462662,2.6227870829644724,0.0010508011859244651
t,0.54658483508233269,0.042962801534871621,0.46456901378977111,0.51751902979260178,0.54457931520579861,0.57475788764137181,0.63431157863485144,0.00050380084104775628
t_std,0.23615636751595029,0.03958672765632925,0.17418153317480867,0.20795630428197784,0.23096888557218384,0.25880316910693008,0.32737612365170055,0.0005429011710912148
t_subj.2013,0.49101246284906269,0.022711133507475181,0.43947873198138243,0.4772072986877427,0.49317320794493141,0.50745495084101955,0.52858740678025096,0.00030145226776025528
t_subj.2015,0.56319368820781146,0.019681256239695057,0.52155025652079423,0.55086904651282986,0.56444308816239208,0.57685248544489809,0.59829760363104856,0.0002442830267910489
t_subj.2016,0.72290477076157478,0.018694549419541771,0.68114690051119031,0.71137279325125713,0.72432769448603396,0.73631851342775989,0.75514283216283506,0.00022917875862467693
t_subj.2017,0.59235205642868793,0.024688030205868818,0.53909919599172773,0.5771566877043075,0.59411437326781857,0.6094903473503458,0.6356494543460518,0.00032120291926665578
t_subj.2018,0.62589382146427963,0.020977541847082785,0.57936760806931742,0.61318482742757274,0.62779221559181175,0.64063712965575736,0.66167297238195832,0.00025691048556220796
t_subj.2019,0.57491069408809814,0.023967581242583753,0.52182480496894623,0.55993714751752943,0.57704088119995833,0.59191454249972764,0.61594622167811097,0.00030237218896683309
